Expected_Min_Entropy,Bound_Type,Model,Value
0.1,Lower Bound,PAQ6v2 w/ SSE,0.09968333185
0.1,Mean,PAQ6v2 w/ SSE,0.09970999
0.1,Higher Bound,PAQ6v2 w/ SSE,0.09973664815
0.2,Lower Bound,PAQ6v2 w/ SSE,0.1979729923
0.2,Mean,PAQ6v2 w/ SSE,0.19892698
0.2,Higher Bound,PAQ6v2 w/ SSE,0.1998809677
0.3,Lower Bound,PAQ6v2 w/ SSE,0.3000240793
0.3,Mean,PAQ6v2 w/ SSE,0.30020308
0.3,Higher Bound,PAQ6v2 w/ SSE,0.3003820807
0.4,Lower Bound,PAQ6v2 w/ SSE,0.399677148
0.4,Mean,PAQ6v2 w/ SSE,0.39974151
0.4,Higher Bound,PAQ6v2 w/ SSE,0.399805872
0.5,Lower Bound,PAQ6v2 w/ SSE,0.5000534869
0.5,Mean,PAQ6v2 w/ SSE,0.50011887
0.5,Higher Bound,PAQ6v2 w/ SSE,0.5001842531
0.6,Lower Bound,PAQ6v2 w/ SSE,0.5982616563
0.6,Mean,PAQ6v2 w/ SSE,0.59914341
0.6,Higher Bound,PAQ6v2 w/ SSE,0.6000251637
0.7,Lower Bound,PAQ6v2 w/ SSE,0.6989321469
0.7,Mean,PAQ6v2 w/ SSE,0.69918718
0.7,Higher Bound,PAQ6v2 w/ SSE,0.6994422131
0.8,Lower Bound,PAQ6v2 w/ SSE,0.7993413445
0.8,Mean,PAQ6v2 w/ SSE,0.80091969
0.8,Higher Bound,PAQ6v2 w/ SSE,0.8024980355
0.9,Lower Bound,PAQ6v2 w/ SSE,0.917035938
0.9,Mean,PAQ6v2 w/ SSE,0.9171604
0.9,Higher Bound,PAQ6v2 w/ SSE,0.917284862
1.0,Lower Bound,PAQ6v2 w/ SSE,0.9985764313
1.0,Mean,PAQ6v2 w/ SSE,0.99868921
1.0,Higher Bound,PAQ6v2 w/ SSE,0.9988019887
0.1,Lower Bound,MultiMCW Bit,0.09966417532
0.1,Mean,MultiMCW Bit,0.09969073
0.1,Higher Bound,MultiMCW Bit,0.09971728468
0.2,Lower Bound,MultiMCW Bit,0.1978565832
0.2,Mean,MultiMCW Bit,0.19880746
0.2,Higher Bound,MultiMCW Bit,0.1997583368
0.3,Lower Bound,MultiMCW Bit,0.2995943133
0.3,Mean,MultiMCW Bit,0.29976489
0.3,Higher Bound,MultiMCW Bit,0.2999354667
0.4,Lower Bound,MultiMCW Bit,0.3989503173
0.4,Mean,MultiMCW Bit,0.39901122
0.4,Higher Bound,MultiMCW Bit,0.3990721227
0.5,Lower Bound,MultiMCW Bit,0.4991494865
0.5,Mean,MultiMCW Bit,0.49921434
0.5,Higher Bound,MultiMCW Bit,0.4992791935
0.6,Lower Bound,MultiMCW Bit,0.5972206994
0.6,Mean,MultiMCW Bit,0.59807464
0.6,Higher Bound,MultiMCW Bit,0.5989285806
0.7,Lower Bound,MultiMCW Bit,0.6976746268
0.7,Mean,MultiMCW Bit,0.69790481
0.7,Higher Bound,MultiMCW Bit,0.6981349932
0.8,Lower Bound,MultiMCW Bit,0.7967814826
0.8,Mean,MultiMCW Bit,0.79829849
0.8,Higher Bound,MultiMCW Bit,0.7998154974
0.9,Lower Bound,MultiMCW Bit,0.899387257
0.9,Mean,MultiMCW Bit,0.89948385
0.9,Higher Bound,MultiMCW Bit,0.899580443
1.0,Lower Bound,MultiMCW Bit,0.995416753
1.0,Mean,MultiMCW Bit,0.99727847
1.0,Higher Bound,MultiMCW Bit,0.999140187
0.1,Lower Bound,Lag Bit,0.1529211915
0.1,Mean,Lag Bit,0.15613794
0.1,Higher Bound,Lag Bit,0.1593546885
0.2,Lower Bound,Lag Bit,0.328002844
0.2,Mean,Lag Bit,0.33435753
0.2,Higher Bound,Lag Bit,0.340712216
0.3,Lower Bound,Lag Bit,0.4849532523
0.3,Mean,Lag Bit,0.49462074
0.3,Higher Bound,Lag Bit,0.5042882277
0.4,Lower Bound,Lag Bit,0.6309745386
0.4,Mean,Lag Bit,0.63894721
0.4,Higher Bound,Lag Bit,0.6469198814
0.5,Lower Bound,Lag Bit,0.7483892387
0.5,Mean,Lag Bit,0.75589821
0.5,Higher Bound,Lag Bit,0.7634071813
0.6,Lower Bound,Lag Bit,0.8543661684
0.6,Mean,Lag Bit,0.85672946
0.6,Higher Bound,Lag Bit,0.8590927516
0.7,Lower Bound,Lag Bit,0.9214555236
0.7,Mean,Lag Bit,0.92241594
